DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
327 5818 196 2509 196 2509 0.0 1.0 2.6990451579920075e-24 14.571266412734985 True
327 5818 196 2544 196 2544 0.0 1.0 2.9333185049230175e-24 15.244359970092773 True
327 5818 196 2578 196 2578 0.0 1.0 3.2021402491567364e-24 15.072726488113403 True
327 5818 196 2532 196 2532 0.0 1.0 3.337332811861088e-24 15.282785654067993 True
327 5818 196 2575 196 2575 0.0 1.0 3.45143466052389e-24 15.196180820465088 True
327 5818 196 2421 196 2421 0.0 1.0 2.4726024709187157e-24 17.29754090309143 True
327 5818 196 2675 196 2675 0.0 1.0 3.008256323857506e-24 15.166191816329956 True
327 5818 196 2575 196 2575 0.0 1.0 2.3094707147280502e-24 14.394503593444824 True
327 5818 196 2487 196 2487 0.0 1.0 2.5762182339063194e-24 15.141791343688965 True
327 5818 196 2618 196 2618 0.0 1.0 3.1196179621857872e-24 15.113697052001953 True
327 5818 196 2540 196 2540 0.0 1.0 2.588409552067983e-24 14.419230699539185 True
327 5818 196 2501 196 2501 0.0 1.0 2.9237668768910457e-24 13.87071943283081 True
327 5818 196 2611 196 2611 0.0 1.0 2.6591953973710547e-24 14.843855142593384 True
327 5818 196 2658 196 2658 0.0 1.0 2.7435476308683825e-24 14.225815773010254 True
327 5818 196 2492 196 2492 0.0 1.0 2.453320549387144e-24 15.282506465911865 True
327 5818 196 2695 196 2695 0.0 1.0 3.264815818884903e-24 15.386387825012207 True
327 5818 196 2676 196 2676 0.0 1.0 3.3174304977715916e-24 15.861998558044434 True
327 5818 196 2477 196 2477 0.0 1.0 2.9053076979837846e-24 14.830985307693481 True
327 5818 196 2470 196 2470 0.0 1.0 2.320151863284228e-24 15.293867826461792 True
327 5818 196 2604 196 2604 0.0 1.0 3.4858217516330494e-24 15.367043495178223 True
327 5818 196 2630 196 2630 0.0 1.0 2.9321061328955658e-24 14.025410652160645 True
327 5818 196 2689 196 2689 0.0 1.0 3.7919137177804486e-24 15.21075439453125 True
327 5818 196 2501 196 2501 0.0 1.0 3.317390795349611e-24 15.316636800765991 True
327 5818 196 2428 196 2428 0.0 1.0 2.8081682836072108e-24 15.846760511398315 True
327 5818 196 2447 196 2447 0.0 1.0 3.0688731391870496e-24 15.479473114013672 True
327 5818 196 2643 196 2643 0.0 1.0 3.4149003232957705e-24 15.470656633377075 True
327 5818 196 2577 196 2577 0.0 1.0 2.500397829918449e-24 15.010714292526245 True
327 5818 196 2608 196 2608 0.0 1.0 3.75100855799217e-24 15.246482372283936 True
327 5818 196 2450 196 2450 0.0 1.0 2.886659657785419e-24 14.202175855636597 True
327 5818 196 2502 196 2502 0.0 1.0 2.5218780535116618e-24 14.236738681793213 True
327 5818 196 2441 196 2441 0.0 1.0 2.9549654533452327e-24 15.376055002212524 True
327 5818 196 2592 196 2592 0.0 1.0 2.783343782108408e-24 15.378627300262451 True
327 5818 196 2536 196 2536 0.0 1.0 3.146777242852095e-24 15.04863953590393 True
327 5818 196 2684 196 2684 0.0 1.0 3.312986551474157e-24 15.760348320007324 True
327 5818 196 2664 196 2704 1440.0 0.7602040816326531 128.4402239987094 13.892476081848145 False
327 5818 196 2659 196 2659 0.0 1.0 3.685535940312828e-24 14.696649312973022 True
327 5818 196 2549 196 2549 0.0 1.0 2.7854558669019924e-24 15.347147941589355 True
327 5818 196 2658 196 2658 0.0 1.0 3.725520958912772e-24 15.500064611434937 True
327 5818 196 2340 196 2340 0.0 1.0 2.5613593935193585e-24 15.031209945678711 True
327 5818 196 2579 196 2579 0.0 1.0 3.442019327882645e-24 15.063475131988525 True
327 5818 196 2518 196 2518 0.0 1.0 3.553644025056964e-24 14.330666303634644 True
327 5818 196 2532 196 2532 0.0 1.0 2.2735145383807473e-24 15.46755337715149 True
327 5818 196 2333 196 2333 0.0 1.0 2.239324437547162e-24 14.912202835083008 True
327 5818 196 2601 196 2584 1642.0000000000002 0.7806122448979592 25.13722497692788 14.805997848510742 False
327 5818 196 2708 196 2708 0.0 1.0 3.807680917068927e-24 15.365937948226929 True
327 5818 196 2505 196 2505 0.0 1.0 2.534349259686848e-24 14.353647708892822 True
327 5818 196 2545 196 2545 0.0 1.0 3.7122415431885434e-24 15.843052387237549 True
327 5818 196 2707 196 2707 0.0 1.0 3.601097738401048e-24 15.464382410049438 True
327 5818 196 2387 196 2387 0.0 1.0 2.1613390554010926e-24 14.652759552001953 True
327 5818 196 2612 196 2612 0.0 1.0 2.5961656640147625e-24 14.07450795173645 True
