DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
379 914 37 69 37 73 40.00000000000001 0.0 9.888994096525884 7.242605209350586 False
379 914 37 88 37 96 68.0 0.13513513513513514 24.824072554979065 7.6123480796813965 False
379 914 37 78 37 83 37.99999999999999 0.0 28.69618928961013 5.908829927444458 False
379 914 37 101 37 84 37.99999999999999 0.0 69.2250920411411 7.184954881668091 False
379 914 37 84 37 84 56.0 0.0 11.0786355793133 7.4174964427948 False
379 914 37 66 37 77 42.0 0.0 22.419251875266525 8.986865520477295 False
379 914 37 76 37 73 25.999999999999996 0.0 7.661241872092476 6.387527704238892 False
379 914 37 94 37 92 40.00000000000001 0.21621621621621623 18.29555526273187 9.214916944503784 False
379 914 37 64 37 73 37.99999999999999 0.0 16.59938784396815 7.384968280792236 False
379 914 37 99 37 100 17.999999999999996 0.24324324324324326 3.4667928208963468 8.769807815551758 False
379 914 37 83 37 78 42.0 0.0 34.90906009698957 7.9226274490356445 False
379 914 37 113 37 106 22.0 0.24324324324324326 16.123628354463037 8.491880655288696 False
379 914 37 81 37 74 30.0 0.0 18.17178568020894 6.045722484588623 False
379 914 37 88 37 89 46.0 0.0 3.1490999891824334 8.615986824035645 False
379 914 37 93 37 87 44.0 0.08108108108108109 18.629622833851787 6.987637281417847 False
379 914 37 101 37 93 20.000000000000004 0.1891891891891892 18.051573777270605 9.756374597549438 False
379 914 37 100 37 90 40.00000000000001 0.13513513513513514 30.408649335695774 7.914126396179199 False
379 914 37 75 37 74 25.999999999999996 0.0 7.703335848706727 8.150100708007812 False
379 914 37 100 37 99 70.0 0.0 98.88170391038291 7.055231094360352 False
379 914 37 98 37 89 42.0 0.0 20.975363807886602 7.28044056892395 False
379 914 37 97 37 98 54.0 0.0 12.665226379973605 7.192005157470703 False
379 914 37 98 37 103 25.999999999999996 0.13513513513513514 7.42261051414139 8.852404832839966 False
379 914 37 72 37 65 46.0 0.0 10.196264365303517 7.3200342655181885 False
379 914 37 80 37 84 51.99999999999999 0.0 5.756524341201978 5.713937759399414 False
379 914 37 83 37 83 36.0 0.0 12.086125302823014 6.614440202713013 False
379 914 37 102 37 102 8.000000000000002 0.5675675675675675 1.1129704054401649e-26 8.873882293701172 False
379 914 37 89 37 84 34.0 0.21621621621621623 10.440521108373794 9.526161432266235 False
379 914 37 87 37 80 66.00000000000001 0.0 17.922261495191222 8.333080053329468 False
379 914 37 97 37 97 28.000000000000004 0.0 6.490304238853893 7.108066558837891 False
379 914 37 77 37 72 17.999999999999996 0.43243243243243246 5.921708174504739 8.256954908370972 False
379 914 37 94 37 95 42.0 0.0 15.304839515789896 6.358403921127319 False
379 914 37 90 37 89 37.99999999999999 0.0 4.703973809137318 7.080863952636719 False
379 914 37 103 37 95 16.0 0.5135135135135135 13.219321012769226 8.978117227554321 False
379 914 37 84 37 83 34.0 0.0 18.90936720257649 7.7969276905059814 False
379 914 37 97 37 95 20.000000000000004 0.16216216216216217 4.9267657137380185 6.858685731887817 False
379 914 37 96 37 84 32.00000000000001 0.21621621621621623 28.38334748710661 9.41158652305603 False
379 914 37 76 37 80 40.00000000000001 0.08108108108108109 13.120165470652385 6.429600715637207 False
379 914 37 75 37 77 23.999999999999996 0.02702702702702703 4.176434855879997 8.42303991317749 False
379 914 37 85 37 79 28.000000000000004 0.0 13.118339900331103 6.457623481750488 False
379 914 37 86 37 88 51.99999999999999 0.0 32.675960229287504 7.545336484909058 False
379 914 37 75 37 87 68.0 0.02702702702702703 36.66185960609129 5.490960359573364 False
379 914 37 92 37 89 14.0 0.0 4.15569275528499 6.909971237182617 False
379 914 37 91 37 92 42.0 0.0 11.272249249880828 7.393186092376709 False
379 914 37 65 37 74 50.00000000000001 0.0 21.256933698738816 7.235711097717285 False
379 914 37 95 37 88 30.0 0.3783783783783784 12.693397029935111 9.937228679656982 False
379 914 37 90 37 81 34.0 0.0 13.801706052219764 6.561882734298706 False
379 914 37 89 37 89 51.99999999999999 0.02702702702702703 21.16805285153742 8.244683027267456 False
379 914 37 77 37 75 23.999999999999996 0.0 8.148429913795267 7.514768362045288 False
379 914 37 93 37 91 36.0 0.0 9.942817561481045 6.835076570510864 False
379 914 37 87 37 79 23.999999999999996 0.3783783783783784 9.98387775063645 6.468600749969482 False
