DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
327 5818 32 134 32 71 334.00000000000006 0.0 610.0831784703863 0.23043203353881836 False
327 5818 32 132 32 48 268.0 0.0 1092.4277938078305 0.22654485702514648 False
327 5818 32 99 32 65 243.99999999999997 0.0 250.30751873206208 0.23065853118896484 False
327 5818 32 102 32 70 287.99999999999994 0.0 140.80729053499329 0.22466278076171875 False
327 5818 32 92 32 46 235.99999999999997 0.0 334.1800560712049 0.22080063819885254 False
327 5818 32 94 32 58 232.00000000000003 0.0 186.65554104604914 0.2206411361694336 False
327 5818 32 120 32 65 286.0 0.0 446.2291958064247 0.21567964553833008 False
327 5818 32 111 32 59 272.0 0.0 448.99441029512127 0.21601247787475586 False
327 5818 32 117 32 67 259.99999999999994 0.0 353.74760471065053 0.21640825271606445 False
327 5818 32 90 32 60 207.99999999999997 0.0 128.56375331024375 0.21462535858154297 False
327 5818 32 98 32 64 240.00000000000003 0.0 159.81927494786254 0.21552443504333496 False
327 5818 32 124 32 65 290.00000000000006 0.0 506.75757339370944 0.21559619903564453 False
327 5818 32 130 32 61 266.0 0.0 669.8875279691139 0.21733689308166504 False
327 5818 32 99 32 62 262.00000000000006 0.0 189.97310916453478 0.2181079387664795 False
327 5818 32 108 32 53 258.0 0.0 474.85172327586923 0.2146601676940918 False
327 5818 32 124 32 74 287.99999999999994 0.0 395.6744830392277 0.21560215950012207 False
327 5818 32 115 32 63 296.0 0.0 411.395147846949 0.21372604370117188 False
327 5818 32 111 32 63 272.0 0.0 334.0868481748279 0.21590518951416016 False
327 5818 32 138 32 70 300.00000000000006 0.0 641.2106572281403 0.21705245971679688 False
327 5818 32 112 32 64 280.0 0.03125 372.68014125872764 0.2165241241455078 False
327 5818 32 126 32 56 284.0 0.0 714.7346050201296 0.2161853313446045 False
327 5818 32 149 32 63 348.00000000000006 0.0 995.0552365045556 0.21085381507873535 False
327 5818 32 108 32 56 276.0 0.0 456.8353216311027 0.21885180473327637 False
327 5818 32 108 32 64 272.0 0.0 318.4678956075566 0.21552109718322754 False
327 5818 32 155 32 54 322.00000000000006 0.0 1425.566713640813 0.2141706943511963 False
327 5818 32 146 32 60 296.0 0.03125 1128.6733580773678 0.21839189529418945 False
327 5818 32 151 32 56 305.99999999999994 0.0 1371.116664988153 0.21843957901000977 False
327 5818 32 175 32 126 190.0 0.0 338.16753989633696 0.22007346153259277 False
327 5818 32 119 32 69 291.99999999999994 0.0 334.75381920690046 0.20589208602905273 False
327 5818 32 162 32 61 334.00000000000006 0.0 1585.1484189079658 0.21932554244995117 False
327 5818 32 93 32 69 240.00000000000003 0.0 90.85110878971119 0.217024564743042 False
327 5818 32 136 32 81 290.00000000000006 0.0 416.75434120462006 0.21459245681762695 False
327 5818 32 162 32 64 376.00000000000006 0.0 1396.3833390283633 0.21343111991882324 False
327 5818 32 138 32 69 294.00000000000006 0.0 733.2847673585375 0.21478509902954102 False
327 5818 32 76 32 57 206.0 0.0 54.24370739934281 0.21606802940368652 False
327 5818 32 103 32 49 228.0 0.0 411.8363896391651 0.21486902236938477 False
327 5818 32 108 32 59 250.0 0.0 336.9559861285746 0.21765422821044922 False
327 5818 32 111 32 62 262.00000000000006 0.0 333.9519278736033 0.21674275398254395 False
327 5818 32 79 32 72 209.99999999999997 0.0 19.578939293149553 0.2142021656036377 False
327 5818 32 90 32 66 204.00000000000003 0.0 85.87863746359288 0.21345996856689453 False
327 5818 32 104 32 66 256.0 0.0 205.21295076556174 0.2192549705505371 False
327 5818 32 122 32 67 266.0 0.0 446.03256054420467 0.21216893196105957 False
327 5818 32 115 32 64 274.0 0.0 374.89566605695643 0.2134993076324463 False
327 5818 32 116 32 59 286.0 0.0 495.9792263320198 0.21772408485412598 False
327 5818 32 102 32 65 282.0 0.0 233.03029969889948 0.2154252529144287 False
327 5818 32 149 32 57 320.00000000000006 0.0 1200.9605373371203 0.21467208862304688 False
327 5818 32 129 32 61 300.00000000000006 0.0 685.6069605848996 0.2149806022644043 False
327 5818 32 137 32 58 302.0 0.0 1003.4320554834223 0.21807360649108887 False
327 5818 32 188 32 68 376.00000000000006 0.0 2041.7953293318878 0.2134714126586914 False
327 5818 32 111 32 52 254.00000000000003 0.0 631.1102403980079 0.21537184715270996 False
