DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
1004 8323 903 8175 903 8164 66.00000000000001 0.8416389811738649 4.238837258517764 28.720118522644043 False
1004 8323 903 7911 903 7908 22.0 0.8449612403100775 0.7928478518798673 28.07649827003479 False
1004 8323 903 7939 903 7927 60.00000000000001 0.8349944629014396 3.7949088241141187 28.323063135147095 False
1004 8323 903 7948 903 7933 86.0 0.8305647840531561 5.097196983431483 28.1972017288208 False
1004 8323 903 8110 903 8102 28.000000000000004 0.8648947951273532 2.3356107969953843 28.02708339691162 False
1004 8323 903 7939 903 7936 37.99999999999999 0.840531561461794 1.529015147861879 34.7401077747345 False
1004 8323 903 8091 903 8070 78.00000000000001 0.8217054263565892 8.375912615876455 30.283946752548218 False
1004 8323 903 8163 903 8156 22.0 0.8527131782945736 2.3275115375842113 35.37753772735596 False
1004 8323 903 8132 903 8111 114.0 0.8549280177187154 14.59299478802793 35.32693362236023 False
1004 8323 903 7954 903 7933 70.0 0.8349944629014396 7.401370905513319 28.134562015533447 False
1004 8323 903 7914 903 7901 74.0 0.8560354374307863 4.662222481978616 28.579304218292236 False
1004 8323 903 7877 903 7874 25.999999999999996 0.8660022148394242 1.2635749429421068 28.351566791534424 False
1004 8323 903 8147 903 8141 28.000000000000004 0.8305647840531561 1.2707021307251296 28.34238910675049 False
1004 8323 903 7938 903 7937 22.0 0.8427464008859358 0.41700681768215403 28.70135235786438 False
1004 8323 903 8157 903 8144 30.0 0.8427464008859358 4.89109280476921 28.727400541305542 False
1004 8323 903 8153 903 8148 14.0 0.8493909191583611 1.1086104621506843 28.6596462726593 False
1004 8323 903 8084 903 8067 70.0 0.8527131782945736 6.243266502103118 28.637940168380737 False
1004 8323 903 7900 903 7891 22.0 0.8593576965669989 5.808347476296313 28.033745765686035 False
1004 8323 903 7827 903 7808 122.00000000000001 0.8527131782945736 6.521231252307481 28.229016542434692 False
1004 8323 903 8161 903 8154 30.0 0.8482834994462901 1.99980256442546 28.109057664871216 False
1004 8323 903 7934 903 7925 22.0 0.8372093023255814 2.0658768423807636 28.859450578689575 False
1004 8323 903 8045 903 8038 46.0 0.8294573643410853 3.067642510908325 28.702483415603638 False
1004 8323 903 8090 903 8076 128.00000000000003 0.8172757475083057 10.023140296825494 28.78555202484131 False
1004 8323 903 8038 903 8025 94.00000000000001 0.8549280177187154 3.7777921619417456 28.230732917785645 False
1004 8323 903 8171 903 8162 50.00000000000001 0.8482834994462901 2.270256707054108 30.57267141342163 False
1004 8323 903 8122 903 8112 64.0 0.8272425249169435 4.097555928176404 397.89376616477966 False
1004 8323 903 7946 903 7934 60.00000000000001 0.8438538205980066 5.496336031879017 33.68145394325256 False
1004 8323 903 8153 903 8151 16.0 0.8538205980066446 0.3289947137280634 28.282573461532593 False
1004 8323 903 7805 903 7796 25.999999999999996 0.8571428571428571 2.038575922144104 28.714527130126953 False
1004 8323 903 7943 903 7936 34.0 0.8383167220376523 1.7104912824142322 28.556419372558594 False
1004 8323 903 7911 903 7904 22.0 0.8527131782945736 2.6397631672929873 28.580118417739868 False
1004 8323 903 8170 903 8157 74.0 0.8427464008859358 4.824839378740794 28.166953086853027 False
1004 8323 903 7931 903 7927 28.000000000000004 0.8427464008859358 0.7663726895294696 28.839892387390137 False
1004 8323 903 7938 903 7917 66.00000000000001 0.8482834994462901 10.692381346084082 28.525654077529907 False
1004 8323 903 8148 903 8143 37.99999999999999 0.8527131782945736 1.7039812787698112 28.1632719039917 False
1004 8323 903 7934 903 7924 23.999999999999996 0.8150609080841639 2.2473559674170662 28.669909477233887 False
1004 8323 903 7767 903 7756 46.0 0.8449612403100775 4.264773879272515 28.845162630081177 False
1004 8323 903 8154 903 8140 47.99999999999999 0.8416389811738649 5.48037294015306 29.060983419418335 False
1004 8323 903 7939 903 7937 20.000000000000004 0.8194905869324474 0.3945601478158394 27.979498624801636 False
1004 8323 903 7944 903 7935 54.0 0.8383167220376523 2.895751854564018 28.63776659965515 False
1004 8323 903 7666 903 7659 25.999999999999996 0.8660022148394242 1.9580907002518428 28.26418161392212 False
1004 8323 903 7914 903 7905 34.0 0.8416389811738649 2.033268907460401 28.403398752212524 False
1004 8323 903 8152 903 8139 78.00000000000001 0.832779623477298 5.617184220539495 28.649143934249878 False
1004 8323 903 8126 903 8111 94.00000000000001 0.8349944629014396 8.422404673581621 28.809576511383057 False
1004 8323 903 7957 903 7939 100.0 0.8283499446290143 6.846993773546475 28.241673707962036 False
1004 8323 903 7999 903 7991 95.99999999999999 0.8338870431893688 2.2198726527887556 28.79757595062256 False
1004 8323 903 8143 903 8133 56.0 0.8394241417497231 4.130947150990873 28.37456178665161 False
1004 8323 903 7956 903 7942 56.0 0.840531561461794 4.77457601199657 30.154006958007812 False
1004 8323 903 7939 903 7922 114.0 0.8039867109634552 11.789455208758495 28.117015600204468 False
1004 8323 903 8134 903 8120 60.00000000000001 0.8283499446290143 5.138152825477407 28.948472261428833 False
