DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
713 2322 71 133 71 36 305.99999999999994 0.07042253521126761 705.2883285986733 0.7491865158081055 False
713 2322 71 171 71 49 387.99999999999994 0.014084507042253521 1095.5044636156063 0.7561783790588379 False
713 2322 71 181 71 58 426.00000000000006 0.0 1026.015182799406 0.7531805038452148 False
713 2322 71 135 71 41 328.00000000000006 0.0 649.9336247975997 0.8764774799346924 False
713 2322 71 145 71 56 361.99999999999994 0.09859154929577464 541.0237760249543 0.7584857940673828 False
713 2322 71 149 71 47 316.0 0.11267605633802817 737.0294315326995 0.7453951835632324 False
713 2322 71 161 71 41 367.99999999999994 0.0 1039.7458529049218 0.7531988620758057 False
713 2322 71 220 71 46 448.00000000000006 0.014084507042253521 2204.7726136364963 0.7533674240112305 False
713 2322 71 132 71 60 364.0 0.028169014084507043 355.5931589940004 0.7537312507629395 False
713 2322 71 170 71 47 342.0 0.0 1061.400632020871 0.7481615543365479 False
713 2322 71 142 71 48 344.0 0.0 625.055146477391 0.7509031295776367 False
713 2322 71 170 71 58 396.0 0.0 857.1960307365568 0.7376666069030762 False
713 2322 71 180 71 47 418.0 0.014084507042253521 1254.570632767838 0.7379288673400879 False
713 2322 71 167 71 47 392.0 0.0 1007.6891817224833 0.7472727298736572 False
713 2322 71 162 71 45 350.00000000000006 0.0 1051.708433364848 0.7527315616607666 False
713 2322 71 238 71 56 500.00000000000006 0.0 2427.3916519077206 0.7514948844909668 False
713 2322 71 179 71 69 428.00000000000006 0.014084507042253521 828.762345107213 0.7474122047424316 False
713 2322 71 153 71 51 372.0 0.0 726.5678854626257 0.7471792697906494 False
713 2322 71 151 71 32 330.0 0.08450704225352113 1063.201473300297 0.753157377243042 False
713 2322 71 216 71 70 492.00000000000006 0.0 1423.1910036440147 0.75229811668396 False
713 2322 71 212 71 42 440.0 0.0 2149.5987724859706 0.7471356391906738 False
713 2322 71 194 71 42 412.0 0.0 1806.167512597037 0.7443513870239258 False
713 2322 71 169 71 38 346.0 0.16901408450704225 1273.0822052062115 0.7526228427886963 False
713 2322 71 202 71 44 424.00000000000006 0.0 1802.7406599255808 0.7534716129302979 False
713 2322 71 207 71 68 462.0 0.0 1373.326771011153 0.748624324798584 False
713 2322 71 201 71 48 442.00000000000006 0.0 1625.7316654086765 0.7486693859100342 False
713 2322 71 202 71 32 424.00000000000006 0.0 2172.536190865535 0.7460405826568604 False
713 2322 71 199 71 62 462.0 0.0 1289.3512103009707 0.7470123767852783 False
713 2322 71 121 71 51 291.99999999999994 0.09859154929577464 363.04660204949386 0.745086669921875 False
713 2322 71 224 71 68 520.0 0.0 1621.3910370493525 0.745851993560791 False
713 2322 71 180 71 61 406.00000000000006 0.0 960.6806163718721 0.7511694431304932 False
713 2322 71 177 71 41 379.99999999999994 0.0 1358.3745955345237 0.7472982406616211 False
713 2322 71 187 71 42 382.00000000000006 0.056338028169014086 1557.7203254520107 0.7457952499389648 False
713 2322 71 163 71 35 355.99999999999994 0.11267605633802817 1213.414412939543 0.7496306896209717 False
713 2322 71 201 71 54 418.0 0.0 1484.9638842850034 0.7498304843902588 False
713 2322 71 177 71 47 367.99999999999994 0.014084507042253521 1259.2745624565757 0.7484779357910156 False
713 2322 71 202 71 63 445.99999999999994 0.0 1348.5903685697715 0.8060438632965088 False
713 2322 71 145 71 40 310.0 0.0 845.0499835650155 0.7490353584289551 False
713 2322 71 167 71 39 360.0 0.11267605633802817 1182.466050740789 0.7526552677154541 False
713 2322 71 160 71 50 367.99999999999994 0.07042253521126761 865.8813419631402 0.7535586357116699 False
713 2322 71 138 71 54 332.0 0.0 495.0271677999412 0.754887580871582 False
713 2322 71 216 71 61 502.0 0.0 1626.8865309172265 0.869664192199707 False
713 2322 71 160 71 47 350.00000000000006 0.0 924.7251906440671 0.7509546279907227 False
713 2322 71 183 71 46 378.0 0.0 1367.3463029041748 0.7451779842376709 False
713 2322 71 179 71 46 394.0 0.0 1327.4537203673437 0.7503032684326172 False
713 2322 71 186 71 48 392.0 0.0 1411.1170488006696 0.747103214263916 False
713 2322 71 183 71 52 374.0 0.1267605633802817 1409.5852764200215 0.7420196533203125 False
713 2322 71 139 71 50 342.0 0.0 549.0606401969941 0.745558500289917 False
713 2322 71 176 71 38 376.00000000000006 0.0 1397.5186618319915 0.7460763454437256 False
713 2322 71 235 71 69 540.0 0.0 1864.0933516901664 0.7563440799713135 False
