DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
327 5818 196 2509 196 2429 7664.0 0.02040816326530612 292.3017152431915 31.873326778411865 False
327 5818 196 2544 196 2341 7666.0 0.0 1246.0650751348128 33.53083372116089 False
327 5818 196 2578 196 2565 8329.999999999998 0.0 434.8756307873868 33.19558072090149 False
327 5818 196 2532 196 2335 7886.000000000001 0.030612244897959183 990.5944988666736 33.63111734390259 False
327 5818 196 2575 196 2310 7921.999999999999 0.0 1787.3941014078089 34.381755113601685 False
327 5818 196 2421 196 2362 7714.000000000001 0.015306122448979591 304.98498297253167 33.51649713516235 False
327 5818 196 2675 196 2403 7956.0 0.02040816326530612 1698.4833166929545 32.0879647731781 False
327 5818 196 2575 196 2337 7984.0 0.00510204081632653 1428.0307239227777 33.0839204788208 False
327 5818 196 2487 196 2289 7540.000000000001 0.00510204081632653 899.7203111141748 32.77618074417114 False
327 5818 196 2618 196 2476 8260.0 0.00510204081632653 750.8222847624859 39.01556921005249 False
327 5818 196 2540 196 2297 7994.000000000001 0.0 1532.9964956389438 33.038816928863525 False
327 5818 196 2501 196 2262 7290.000000000001 0.0 1473.4138264577887 33.511967420578 False
327 5818 196 2611 196 2501 8560.0 0.00510204081632653 449.1942505515885 32.90422511100769 False
327 5818 196 2658 196 2364 7892.000000000001 0.0 2166.4399777457033 33.588943004608154 False
327 5818 196 2492 196 2440 8164.000000000001 0.0 533.5986388446152 33.89071297645569 False
327 5818 196 2695 196 2298 8097.999999999999 0.01020408163265306 4058.397270721822 34.50331425666809 False
327 5818 196 2676 196 2378 7923.999999999999 0.0 2070.6418405705795 33.243531942367554 False
327 5818 196 2477 196 2348 7714.000000000001 0.01020408163265306 549.1258532302412 32.29697322845459 False
327 5818 196 2470 196 2374 7708.000000000001 0.015306122448979591 310.97268059395554 32.22992491722107 False
327 5818 196 2604 196 2303 8049.999999999999 0.02040816326530612 2270.974960655348 32.90010452270508 False
327 5818 196 2630 196 2530 8331.999999999998 0.00510204081632653 347.81002435137566 33.398746967315674 False
327 5818 196 2689 196 2340 8030.000000000001 0.015306122448979591 2629.2964878686103 33.077465772628784 False
327 5818 196 2501 196 2395 7784.0 0.02040816326530612 413.3001239204759 32.7786660194397 False
327 5818 196 2428 196 2577 8226.000000000002 0.00510204081632653 713.4218053592463 37.96249747276306 False
327 5818 196 2447 196 2256 7737.999999999999 0.0 805.1680392933522 34.15861797332764 False
327 5818 196 2643 196 2440 8178.000000000001 0.0 1347.1601962843238 32.71110820770264 False
327 5818 196 2577 196 2421 8052.0 0.02040816326530612 768.481356666723 34.10827851295471 False
327 5818 196 2608 196 2465 8202.0 0.01020408163265306 885.6721279902791 34.18589186668396 False
327 5818 196 2450 196 2485 7901.999999999999 0.0 131.76208700116564 32.40986728668213 False
327 5818 196 2502 196 2200 7636.000000000001 0.0 2200.3929336253427 32.10552978515625 False
327 5818 196 2441 196 2387 7851.999999999999 0.030612244897959183 320.6238285352882 33.39806389808655 False
327 5818 196 2592 196 2315 7570.000000000001 0.00510204081632653 1656.043775138231 31.961256504058838 False
327 5818 196 2536 196 2605 8346.0 0.0 400.61810285572057 33.26631236076355 False
327 5818 196 2684 196 2499 8154.0 0.00510204081632653 841.7314527833315 35.033931493759155 False
327 5818 196 2664 196 2314 7939.999999999999 0.0 2772.219449796643 32.994333267211914 False
327 5818 196 2659 196 2451 8252.0 0.0 952.8175946603268 33.63962960243225 False
327 5818 196 2549 196 2249 7775.999999999999 0.00510204081632653 2014.8435124560988 38.906391859054565 False
327 5818 196 2658 196 2450 8071.999999999999 0.0 1003.3719296668497 33.403257846832275 False
327 5818 196 2340 196 2294 7404.000000000001 0.015306122448979591 435.65408777697894 33.2685546875 False
327 5818 196 2579 196 2205 8055.999999999999 0.015306122448979591 3023.1572540238253 33.04902648925781 False
327 5818 196 2518 196 2240 7512.0 0.01020408163265306 1928.1082347998943 32.83053374290466 False
327 5818 196 2532 196 2413 7810.0 0.0 388.07712944756724 33.32510328292847 False
327 5818 196 2333 196 2336 7637.999999999999 0.0 136.97786923952972 32.790350914001465 False
327 5818 196 2601 196 2385 8104.000000000001 0.0 1436.5437896008643 33.463078022003174 False
327 5818 196 2708 196 2313 7989.999999999999 0.0 3578.9446423059117 33.16145086288452 False
327 5818 196 2505 196 2351 7808.000000000001 0.00510204081632653 578.0535786611578 33.489057540893555 False
327 5818 196 2545 196 2306 7866.000000000001 0.0 1494.578620136163 33.13371562957764 False
327 5818 196 2707 196 2303 7828.0 0.00510204081632653 4045.4338979331606 34.03099226951599 False
327 5818 196 2387 196 2420 7981.999999999999 0.01020408163265306 143.6107668681779 34.1317720413208 False
327 5818 196 2612 196 2443 8082.0 0.0 812.7821472962381 33.50423789024353 False
