DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
1133 5400 226 751 226 405 2068.0 0.0 2530.8647035809745 3.466576099395752 False
1133 5400 226 743 226 427 2064.0 0.004424778761061947 2148.5209149664065 3.3962085247039795 False
1133 5400 226 831 226 433 2188.0000000000005 0.0 3799.521889479907 3.386547088623047 False
1133 5400 226 702 226 380 1983.9999999999998 0.0 2305.8989030939756 3.374685287475586 False
1133 5400 226 809 226 533 2352.0 0.0 1544.3053002432594 3.287055015563965 False
1133 5400 226 796 226 450 2132.0 0.004424778761061947 2446.3727836823673 3.290527105331421 False
1133 5400 226 775 226 451 2180.0 0.008849557522123894 2184.0347740260654 3.378807306289673 False
1133 5400 226 758 226 478 2192.0 0.0 1600.0292178850748 3.381696939468384 False
1133 5400 226 844 226 442 2227.0000000000005 0.0 3430.359876411827 3.310116767883301 False
1133 5400 226 830 226 546 2472.0 0.0 1601.782027069392 3.383676290512085 False
1133 5400 226 762 226 454 2200.0000000000005 0.008849557522123894 2013.9441967620494 3.3265883922576904 False
1133 5400 226 777 226 380 2078.0000000000005 0.008849557522123894 3407.6370338415354 3.4518706798553467 False
1133 5400 226 792 226 366 2132.0 0.0 3947.949744046992 3.2546324729919434 False
1133 5400 226 888 226 375 2338.0 0.004424778761061947 6435.239636642599 3.5176258087158203 False
1133 5400 226 698 226 369 1913.9999999999998 0.0 2388.275463376626 3.349231243133545 False
1133 5400 226 834 226 439 2201.9999999999995 0.004424778761061947 3422.0427201366583 3.4043736457824707 False
1133 5400 226 745 226 326 1962.0000000000002 0.0 3872.0328088888946 3.341243028640747 False
1133 5400 226 812 226 462 2311.9999999999995 0.0 2494.3518743626887 3.401355028152466 False
1133 5400 226 763 226 418 2142.0 0.004424778761061947 2466.804835775521 3.3529226779937744 False
1133 5400 226 903 226 375 2380.0 0.004424778761061947 6234.517656999097 3.3336071968078613 False
1133 5400 226 773 226 406 2082.0 0.0 2742.2650257455125 3.3247573375701904 False
1133 5400 226 892 226 403 2393.9999999999995 0.0 5485.299203265948 3.394421100616455 False
1133 5400 226 805 226 521 2359.9999999999995 0.004424778761061947 1600.1224363972851 3.4084675312042236 False
1133 5400 226 756 226 471 2214.0 0.0 1820.9776332474341 3.2521872520446777 False
1133 5400 226 833 226 455 2276.0 0.0 2871.8434473772472 3.2840347290039062 False
1133 5400 226 837 226 461 2280.0000000000005 0.004424778761061947 2952.7926643717724 3.309871196746826 False
1133 5400 226 747 226 376 2038.0000000000002 0.0 3014.3376708508276 3.569720506668091 False
1133 5400 226 801 226 482 2325.9999999999995 0.0 2118.8220835319003 3.3745598793029785 False
1133 5400 226 785 226 425 2128.0000000000005 0.0 3320.0428968183924 3.3716578483581543 False
1133 5400 226 878 226 409 2270.0000000000005 0.0 4833.609217859108 3.2742929458618164 False
1133 5400 226 779 226 414 2145.0 0.0 3472.1031794419036 3.3934550285339355 False
1133 5400 226 777 226 435 2144.0 0.0 2443.761302759584 3.3384413719177246 False
1133 5400 226 812 226 397 2154.0000000000005 0.008849557522123894 3662.117604362051 3.3534576892852783 False
1133 5400 226 908 226 410 2372.0000000000005 0.004424778761061947 5505.196712276761 3.354907989501953 False
1133 5400 226 789 226 524 2286.0 0.0 1444.1765745156717 3.3540775775909424 False
1133 5400 226 907 226 405 2436.0000000000005 0.004424778761061947 6090.239555955951 3.3382527828216553 False
1133 5400 226 816 226 477 2338.0 0.004424778761061947 2318.4319590558644 3.3315961360931396 False
1133 5400 226 782 226 466 2256.0 0.0 2111.845335213522 3.355804681777954 False
1133 5400 226 884 226 393 2282.0 0.017699115044247787 6000.550040583349 3.3975942134857178 False
1133 5400 226 785 226 494 2266.0 0.004424778761061947 1647.9692473444716 3.3404436111450195 False
1133 5400 226 748 226 439 2154.0000000000005 0.008849557522123894 1962.1476979828733 3.324214220046997 False
1133 5400 226 799 226 360 2097.9999999999995 0.004424778761061947 4566.861685932857 3.3652477264404297 False
1133 5400 226 824 226 445 2266.0 0.004424778761061947 2932.0809037701433 3.430922746658325 False
1133 5400 226 843 226 455 2320.0 0.004424778761061947 3020.695539661527 3.422931671142578 False
1133 5400 226 690 226 386 1947.9999999999998 0.008849557522123894 1924.2400342816761 3.372269630432129 False
1133 5400 226 858 226 446 2344.0 0.004424778761061947 3719.541654151599 3.4371771812438965 False
1133 5400 226 848 226 451 2298.0 0.0 3573.7856545983846 3.3649919033050537 False
1133 5400 226 847 226 543 2383.0 0.0 1829.9241878332275 3.4612600803375244 False
1133 5400 226 872 226 507 2446.0000000000005 0.004424778761061947 2741.0851942251134 3.282994508743286 False
1133 5400 226 807 226 436 2266.0 0.0 2849.448506024912 3.411841869354248 False
