DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
1133 5400 793 4152 793 4333 560.0 0.9735182849936949 319.36678945246456 96.02186155319214 False
1133 5400 793 4216 793 4380 595.0 0.9596469104665826 316.2633953579394 96.53172492980957 False
1133 5400 793 4205 793 4336 613.9999999999999 0.9583858764186634 271.13079044182706 96.105477809906 False
1133 5400 793 4264 793 4400 564.0 0.9621689785624212 246.98030852520458 97.87712097167969 False
1133 5400 793 4251 793 4436 628.0 0.9722572509457755 447.21184870771725 97.83254528045654 False
1133 5400 793 4209 793 4381 650.0 0.9596469104665826 353.93123243766127 97.81405735015869 False
1133 5400 793 4174 793 4322 536.0 0.9722572509457755 272.565897552798 97.50347805023193 False
1133 5400 793 4237 793 4373 572.0 0.9621689785624212 231.31185413472176 97.74696660041809 False
1133 5400 793 4244 793 4367 457.99999999999994 0.969735182849937 171.418557593218 97.84842681884766 False
1133 5400 793 4197 793 4348 573.9999999999999 0.9609079445145019 260.2555672845465 97.5193567276001 False
1133 5400 793 4209 793 4356 629.0000000000001 0.9546027742749055 294.1578768455271 97.37480282783508 False
1133 5400 793 4209 793 4408 509.99999999999994 0.9747793190416141 417.76939232411826 97.43654036521912 False
1133 5400 793 4218 793 4354 512.0000000000001 0.9558638083228247 226.2703769736733 97.52472686767578 False
1133 5400 793 4260 793 4402 564.0 0.9672131147540983 257.38762293463805 97.69658756256104 False
1133 5400 793 4211 793 4381 499.0 0.9659520807061791 269.64650017772783 97.67680740356445 False
1133 5400 793 4251 793 4395 572.0 0.9609079445145019 246.26476850017627 97.6888575553894 False
1133 5400 793 4216 793 4378 516.0 0.9735182849936949 258.6085462488011 98.07511949539185 False
1133 5400 793 4239 793 4385 591.9999999999999 0.9646910466582598 251.44987883364047 98.93410778045654 False
1133 5400 793 4219 793 4391 540.0 0.9684741488020177 310.86099288677485 97.08410620689392 False
1133 5400 793 4251 793 4371 611.9999999999999 0.9659520807061791 209.857391294027 97.20788931846619 False
1133 5400 793 4336 793 4451 586.0 0.957124842370744 174.40447698480097 97.53202795982361 False
1133 5400 793 4201 793 4385 536.0 0.9672131147540983 348.29537200804225 97.01879930496216 False
1133 5400 793 4219 793 4369 584.0 0.9621689785624212 263.32738280222975 97.17936992645264 False
1133 5400 793 4182 793 4342 676.0 0.9609079445145019 331.53896955067813 96.98003005981445 False
1133 5400 793 4314 793 4437 573.0000000000001 0.9684741488020177 196.60331416866006 97.88541102409363 False
1133 5400 793 4224 793 4396 600.0 0.9684741488020177 278.5177093408284 97.7661292552948 False
1133 5400 793 4166 793 4345 489.99999999999994 0.9709962168978562 285.81176350767333 97.53007745742798 False
1133 5400 793 4170 793 4338 560.0 0.9709962168978562 309.7116429591241 97.84503531455994 False
1133 5400 793 4210 793 4374 548.0 0.969735182849937 298.9315817610074 98.01063919067383 False
1133 5400 793 4207 793 4350 530.0 0.9735182849936949 216.45357488323938 98.40434956550598 False
1133 5400 793 4269 793 4433 484.0 0.9810844892812106 325.2102590832862 97.87065410614014 False
1133 5400 793 4285 793 4459 576.0 0.9709962168978562 309.1709188557406 97.99655532836914 False
1133 5400 793 4282 793 4409 478.00000000000006 0.9672131147540983 183.1027688599527 97.91252565383911 False
1133 5400 793 4196 793 4361 618.0 0.9659520807061791 318.1828001685133 97.72361183166504 False
1133 5400 793 4209 793 4365 532.0000000000001 0.9747793190416141 239.3379183760075 97.90019226074219 False
1133 5400 793 4214 793 4386 492.00000000000006 0.9684741488020177 282.84185489299864 97.86917042732239 False
1133 5400 793 4265 793 4426 538.0 0.9722572509457755 270.9851129293109 98.08675909042358 False
1133 5400 793 4244 793 4375 557.9999999999999 0.9634300126103404 259.20263100494617 97.77936911582947 False
1133 5400 793 4194 793 4337 648.0 0.9546027742749055 274.975726482038 97.67979168891907 False
1133 5400 793 4246 793 4411 636.0 0.9583858764186634 334.6281446884955 97.8060028553009 False
1133 5400 793 4195 793 4371 543.0 0.9646910466582598 311.553530909165 97.69781541824341 False
1133 5400 793 4193 793 4353 555.0000000000001 0.9621689785624212 238.91782081115178 97.28030490875244 False
1133 5400 793 4214 793 4384 584.0 0.9684741488020177 283.4768747177953 96.06184673309326 False
1133 5400 793 4207 793 4378 550.0000000000001 0.9773013871374527 323.66322306224566 95.92539834976196 False
1133 5400 793 4225 793 4375 644.0 0.957124842370744 293.15507140693023 96.0215232372284 False
1133 5400 793 4196 793 4361 620.9999999999999 0.9546027742749055 323.15337238435757 96.09891438484192 False
1133 5400 793 4216 793 4370 734.9999999999999 0.9546027742749055 308.02132272277566 96.18945813179016 False
1133 5400 793 4251 793 4425 475.99999999999994 0.9672131147540983 270.73087573979836 96.14011287689209 False
1133 5400 793 4244 793 4404 540.0 0.9646910466582598 284.9806592000241 96.29266619682312 False
1133 5400 793 4237 793 4432 607.9999999999999 0.9672131147540983 414.13833072460466 96.30920696258545 False
