DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
327 5818 228 3088 228 3042 10188.0 0.017543859649122806 232.13590445410557 0.18332457542419434 False
327 5818 228 3129 228 3065 9439.999999999998 0.013157894736842105 287.17864574840274 0.19462347030639648 False
327 5818 228 3158 228 3064 9548.0 0.017543859649122806 633.425590837445 0.1848154067993164 False
327 5818 228 3273 228 3063 9612.0 0.008771929824561403 842.1433948615563 0.17776179313659668 False
327 5818 228 3023 228 3090 9658.0 0.021929824561403508 275.14544077440655 0.17313504219055176 False
327 5818 228 3217 228 3142 10254.0 0.008771929824561403 266.60480899008024 0.18140459060668945 False
327 5818 228 2999 228 3047 9384.0 0.0043859649122807015 203.79701966413322 0.1767580509185791 False
327 5818 228 3375 228 3127 10028.0 0.013157894736842105 1589.9348229757957 0.19549870491027832 False
327 5818 228 3223 228 3093 9708.0 0.013157894736842105 500.77844099906775 0.17788386344909668 False
327 5818 228 3153 228 3043 9456.0 0.0043859649122807015 589.1397398554184 0.19028806686401367 False
327 5818 228 3246 228 3083 10522.0 0.013157894736842105 622.2814922601077 0.17683959007263184 False
327 5818 228 3048 228 3093 9638.0 0.0043859649122807015 190.69136992233052 0.18557310104370117 False
327 5818 228 3196 228 3079 9962.0 0.013157894736842105 538.9980332652132 0.17876935005187988 False
327 5818 228 3059 228 3090 8998.0 0.06140350877192982 193.9845709214791 0.18586134910583496 False
327 5818 228 3243 228 3046 9750.0 0.017543859649122806 786.7411178554012 0.1805129051208496 False
327 5818 228 3184 228 3056 10463.999999999998 0.021929824561403508 671.2012301970221 0.1743769645690918 False
327 5818 228 3261 228 3136 9670.0 0.013157894736842105 490.6083769842411 0.17624926567077637 False
327 5818 228 3198 228 3130 10339.999999999998 0.013157894736842105 421.5122072268058 0.18967986106872559 False
327 5818 228 3240 228 3105 9098.0 0.013157894736842105 581.0970530426933 0.17589116096496582 False
327 5818 228 3238 228 3066 9828.0 0.013157894736842105 781.2125134175463 0.17568397521972656 False
327 5818 228 3072 228 3076 10128.0 0.013157894736842105 176.07695396803666 0.17920589447021484 False
327 5818 228 3265 228 3102 9817.999999999998 0.008771929824561403 764.6457641851238 0.18430209159851074 False
327 5818 228 3158 228 3107 10518.0 0.017543859649122806 256.42566335794226 0.1709427833557129 False
327 5818 228 3179 228 3072 9666.0 0.008771929824561403 799.0402614574631 0.18140959739685059 False
327 5818 228 2978 228 3061 9882.0 0.008771929824561403 300.68758204250304 0.17896652221679688 False
327 5818 228 3178 228 3119 10134.000000000002 0.02631578947368421 520.2317304834663 0.17658448219299316 False
327 5818 228 3066 228 3056 10071.999999999998 0.008771929824561403 124.71124168941225 0.17792153358459473 False
327 5818 228 3105 228 3074 10194.0 0.021929824561403508 195.63372875208947 0.18046998977661133 False
327 5818 228 3273 228 3119 9459.999999999998 0.02631578947368421 593.9946442265824 0.1815483570098877 False
327 5818 228 3190 228 3089 8598.0 0.0043859649122807015 281.9261526701764 0.1857450008392334 False
327 5818 228 3112 228 3055 9166.0 0.0043859649122807015 770.179852461459 0.21809148788452148 False
327 5818 228 3058 228 3041 10154.0 0.017543859649122806 62.63615135104274 0.1804187297821045 False
327 5818 228 3170 228 3058 10332.0 0.017543859649122806 516.4893009636145 0.17790508270263672 False
327 5818 228 3169 228 3052 9930.000000000002 0.021929824561403508 506.70323753343894 0.17586469650268555 False
327 5818 228 3247 228 3052 10466.000000000002 0.013157894736842105 912.9818963697859 0.17267775535583496 False
327 5818 228 3166 228 3088 9588.000000000002 0.0043859649122807015 383.88188079418353 0.17884016036987305 False
327 5818 228 3180 228 3130 9991.999999999998 0.021929824561403508 142.0168621072581 0.17928409576416016 False
327 5818 228 3215 228 3054 9970.0 0.0043859649122807015 639.1327674162555 0.1737816333770752 False
327 5818 228 3116 228 3094 10428.0 0.013157894736842105 268.1803441248203 0.17314743995666504 False
327 5818 228 3008 228 3040 9236.0 0.013157894736842105 144.45908211276463 0.17905879020690918 False
327 5818 228 3010 228 3048 10168.0 0.017543859649122806 123.56769206934156 0.17430472373962402 False
327 5818 228 3212 228 3107 10086.000000000002 0.008771929824561403 1022.704146406975 0.1989145278930664 False
327 5818 228 3000 228 3083 9638.0 0.02631578947368421 297.68900985268607 0.18356728553771973 False
327 5818 228 3247 228 3135 10396.000000000002 0.03508771929824561 404.9681598304562 0.17217659950256348 False
327 5818 228 3196 228 3036 9900.0 0.0 772.8221820909696 0.17242646217346191 False
327 5818 228 3101 228 3049 10016.0 0.017543859649122806 380.10343183082733 0.18149495124816895 False
327 5818 228 3127 228 3103 10240.000000000002 0.02631578947368421 136.8250471905912 0.17525720596313477 False
327 5818 228 3160 228 3032 10492.0 0.04824561403508772 1032.6549953734088 0.1729888916015625 False
327 5818 228 3196 228 3121 9474.0 0.02631578947368421 235.6252517515043 0.17373085021972656 False
327 5818 228 3275 228 3102 10738.000000000002 0.03508771929824561 645.5517957860765 0.17232060432434082 False
