DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
379 914 75 167 75 84 266.0 0.10666666666666667 475.8651703119795 1.1207001209259033 False
379 914 75 183 75 167 71.99999999999999 0.5333333333333333 27.737788935127497 4.321556091308594 False
379 914 75 164 75 87 277.99999999999994 0.14666666666666667 402.50177680516487 1.003222942352295 False
379 914 75 190 75 143 198.0 0.21333333333333335 165.46148330293448 1.207432508468628 False
379 914 75 169 75 118 150.0 0.18666666666666668 225.05351404268777 2.37648868560791 False
379 914 75 163 75 81 320.00000000000006 0.16 443.06019854493707 1.0485472679138184 False
379 914 75 182 75 94 268.0 0.10666666666666667 510.5782175238288 1.3251311779022217 False
379 914 75 204 75 124 259.99999999999994 0.26666666666666666 422.79962686193625 2.9554078578948975 False
379 914 75 169 75 82 286.0 0.26666666666666666 509.4395750690243 1.0753886699676514 False
379 914 75 150 75 56 252.00000000000003 0.14666666666666667 593.4009216331377 1.022895097732544 False
379 914 75 166 75 62 328.00000000000006 0.13333333333333333 763.8234988750862 1.0100712776184082 False
379 914 75 197 75 146 146.0 0.26666666666666666 210.8288195166999 3.8994357585906982 False
379 914 75 207 75 148 214.0 0.30666666666666664 277.3260775494108 2.252312183380127 False
379 914 75 162 75 107 146.0 0.3466666666666667 194.53476397941944 1.4782929420471191 False
379 914 75 192 75 145 170.00000000000003 0.28 186.84056534590124 3.6997833251953125 False
379 914 75 162 75 95 234.00000000000003 0.21333333333333335 297.62693562158285 1.9634597301483154 False
379 914 75 173 75 101 296.0 0.25333333333333335 327.2319386699962 1.0049402713775635 False
379 914 75 171 75 109 212.0 0.29333333333333333 244.21373362882775 2.880753993988037 False
379 914 75 157 75 72 298.0 0.13333333333333333 493.01369678622086 1.0026500225067139 False
379 914 75 190 75 95 254.00000000000003 0.16 575.1879286281069 1.2606875896453857 False
379 914 75 147 75 64 237.99999999999997 0.3333333333333333 490.9215265001893 0.9793415069580078 False
379 914 75 169 75 59 324.0 0.02666666666666667 860.7569334494997 0.9579577445983887 False
379 914 75 168 75 106 180.00000000000003 0.38666666666666666 233.42804393703827 1.3110907077789307 False
379 914 75 173 75 73 300.00000000000006 0.21333333333333335 669.5753030371072 0.9997658729553223 False
379 914 75 171 75 87 248.0 0.37333333333333335 452.0137587519294 2.6157679557800293 False
379 914 75 189 75 138 138.0 0.4533333333333333 186.2179394520885 1.871781349182129 False
379 914 75 182 75 116 204.00000000000003 0.26666666666666666 311.5356972911194 1.0342791080474854 False
379 914 75 177 75 119 228.0 0.24 241.50856791498788 2.6579151153564453 False
379 914 75 174 75 126 156.0 0.32 167.86272704343676 2.536163091659546 False
379 914 75 156 75 60 324.0 0.26666666666666666 642.9838770435806 1.0035796165466309 False
379 914 75 153 75 60 294.00000000000006 0.17333333333333334 599.8779025712234 0.9772577285766602 False
379 914 75 172 75 72 308.00000000000006 0.18666666666666668 652.4711138489497 1.037980556488037 False
379 914 75 179 75 137 120.0 0.4266666666666667 132.30359434072614 3.8992605209350586 False
379 914 75 174 75 89 246.00000000000003 0.41333333333333333 467.44805941455735 1.0745973587036133 False
379 914 75 187 75 134 190.0 0.30666666666666664 194.10747286104774 2.514678478240967 False
379 914 75 155 75 66 277.99999999999994 0.25333333333333335 560.0609347855109 1.0399000644683838 False
379 914 75 204 75 142 204.00000000000003 0.10666666666666667 248.22451783583594 1.7186357975006104 False
379 914 75 182 75 93 277.99999999999994 0.2 537.843959416996 3.023942470550537 False
379 914 75 184 75 77 330.0 0.12 737.4620260974725 1.0345513820648193 False
379 914 75 156 75 87 185.99999999999997 0.3466666666666667 317.29690962785406 1.0605647563934326 False
379 914 75 167 75 101 196.0 0.29333333333333333 283.5353923992629 1.0839478969573975 False
379 914 75 170 75 130 132.0 0.4 132.75742764659734 1.4427406787872314 False
379 914 75 184 75 153 110.0 0.49333333333333335 72.20732317346172 3.034757614135742 False
379 914 75 163 75 106 150.0 0.4 225.1534327924147 1.1586463451385498 False
379 914 75 190 75 123 190.0 0.3466666666666667 292.5135125742244 2.993839740753174 False
379 914 75 193 75 145 168.0 0.37333333333333335 167.95759363244065 1.757577657699585 False
379 914 75 209 75 169 115.99999999999999 0.5066666666666667 114.71117730691455 2.2086360454559326 False
379 914 75 175 75 112 237.99999999999997 0.18666666666666668 284.3876699013934 1.8251099586486816 False
379 914 75 157 75 62 277.99999999999994 0.12 635.0263519893507 0.9674007892608643 False
379 914 75 177 75 115 220.0 0.18666666666666668 252.91959840238107 0.9585623741149902 False
