DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
327 5818 163 1772 163 2347 4782.0 0.006134969325153374 0 11.219912767410278 False
327 5818 163 1878 163 2241 4466.0 0.006134969325153374 0 10.203993320465088 False
327 5818 163 1804 163 2339 5078.0 0.018404907975460124 0 11.367626190185547 False
327 5818 163 1693 163 2354 4326.000000000001 0.006134969325153374 0 9.930144786834717 False
327 5818 163 1725 163 2193 4232.0 0.012269938650306749 0 11.414808988571167 False
327 5818 163 1854 163 2296 4484.0 0.012269938650306749 0 10.05619764328003 False
327 5818 163 1897 163 2180 4369.999999999999 0.0 0 10.049747943878174 False
327 5818 163 2018 163 2177 4494.000000000001 0.006134969325153374 0 10.77272629737854 False
327 5818 163 1776 163 2440 4367.999999999999 0.049079754601226995 0 10.146005392074585 False
327 5818 163 1692 163 2233 4281.999999999999 0.018404907975460124 0 10.918752193450928 False
327 5818 163 1799 163 2142 4046.0000000000005 0.024539877300613498 0 11.11459469795227 False
327 5818 163 1893 163 2238 4278.0 0.09202453987730061 0 11.758051633834839 False
327 5818 163 1972 163 2070 4023.9999999999995 0.006134969325153374 0 10.222549676895142 False
327 5818 163 1814 163 2242 4823.999999999999 0.006134969325153374 0 10.177521228790283 False
327 5818 163 1860 163 2287 4834.000000000001 0.0 0 9.919663906097412 False
327 5818 163 1882 163 2373 4826.000000000001 0.006134969325153374 0 10.145068168640137 False
327 5818 163 1863 163 2277 4279.999999999999 0.012269938650306749 0 11.28397011756897 False
327 5818 163 1797 163 2174 3918.0 0.006134969325153374 0 10.488209247589111 False
327 5818 163 1744 163 2030 4212.0 0.018404907975460124 0 10.090249061584473 False
327 5818 163 1636 163 2152 4307.999999999999 0.0 0 10.196517705917358 False
327 5818 163 1827 163 2075 4064.0000000000005 0.0 0 11.008572340011597 False
327 5818 163 1835 163 2346 4782.0 0.012269938650306749 0 10.936678647994995 False
327 5818 163 1897 163 2193 4652.000000000001 0.0 0 10.162535667419434 False
327 5818 163 1855 163 2315 4624.0 0.006134969325153374 0 10.109089851379395 False
327 5818 163 1709 163 2166 4366.0 0.0 0 10.333103656768799 False
327 5818 163 1922 163 2422 4468.0 0.006134969325153374 0 10.372316598892212 False
327 5818 163 1959 163 2182 4530.000000000001 0.012269938650306749 0 11.336748838424683 False
327 5818 163 1860 163 2359 4538.0 0.024539877300613498 0 9.958895206451416 False
327 5818 163 1923 163 2362 4198.000000000001 0.08588957055214724 0 11.448450565338135 False
327 5818 163 1813 163 2336 4334.0 0.012269938650306749 0 11.490480184555054 False
327 5818 163 1800 163 2124 3788.0 0.0 0 11.694678783416748 False
327 5818 163 1703 163 1873 3640.0 0.0 0 9.841568231582642 False
327 5818 163 1911 163 2348 4238.000000000001 0.0 0 10.022014141082764 False
327 5818 163 1859 163 2389 4628.000000000001 0.03067484662576687 0 10.168965339660645 False
327 5818 163 1911 163 2200 4354.000000000001 0.012269938650306749 0 10.040506362915039 False
327 5818 163 1710 163 2267 4382.0 0.024539877300613498 0 9.689985513687134 False
327 5818 163 1817 163 2253 3988.0 0.0 0 11.198251247406006 False
327 5818 163 1841 163 2150 4281.999999999999 0.006134969325153374 0 10.018996000289917 False
327 5818 163 1868 163 2175 4774.000000000001 0.006134969325153374 0 10.522284984588623 False
327 5818 163 1906 163 2288 4568.000000000001 0.0 0 9.98931884765625 False
327 5818 163 1806 163 2192 4652.000000000001 0.006134969325153374 0 12.084120273590088 False
327 5818 163 1751 163 2096 4222.0 0.012269938650306749 0 11.889558553695679 False
327 5818 163 1819 163 2290 4617.999999999999 0.0 0 10.807697296142578 False
327 5818 163 1959 163 2239 3955.9999999999995 0.06134969325153374 0 10.095369577407837 False
327 5818 163 2039 163 2262 4154.0 0.03680981595092025 0 10.153883695602417 False
327 5818 163 1813 163 2058 3930.0 0.0 0 10.023913860321045 False
327 5818 163 1777 163 2072 4378.0 0.0 0 11.008832216262817 False
327 5818 163 1817 163 2361 4859.999999999999 0.018404907975460124 0 10.420608520507812 False
327 5818 163 1845 163 2195 4360.0 0.012269938650306749 0 10.133897542953491 False
327 5818 163 1906 163 2308 4563.999999999999 0.0 0 10.603724479675293 False
