DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
327 5238 163 1772 163 1562 5203.999999999999 0.07975460122699386 1233.784126202631 2.7899439334869385 False
327 5235 163 1878 163 1455 5085.999999999999 0.06748466257668712 4676.940637271743 1.6735916137695312 False
327 5219 163 1804 163 1631 5034.000000000001 0.06134969325153374 1063.3664010889656 1.921668291091919 False
327 5262 163 1693 163 1649 4980.000000000001 0.1165644171779141 892.2808413436442 1.910562515258789 False
327 5253 163 1725 163 1671 4900.0 0.09202453987730061 1122.0510961641169 2.3020033836364746 False
327 5228 163 1854 163 1657 5286.000000000001 0.12883435582822086 1159.2192643819235 1.822272777557373 False
327 5220 163 1897 163 1485 5040.000000000001 0.0736196319018405 4465.1799773905395 1.7706007957458496 False
327 5187 163 2018 163 1558 4156.000000000001 0.20245398773006135 5469.118345540465 2.03762149810791 False
327 5214 163 1776 163 1600 5080.0 0.10429447852760736 860.516966332692 1.750131368637085 False
327 5204 163 1692 163 1678 5304.0 0.0736196319018405 1004.271871193534 2.9044952392578125 False
327 5257 163 1799 163 1542 4906.000000000001 0.10429447852760736 1782.922344926444 1.7165844440460205 False
327 5200 163 1893 163 1529 4811.999999999999 0.147239263803681 3566.9847932308767 2.695521593093872 False
327 5254 163 1972 163 1451 5130.0 0.13496932515337423 7534.3208895854705 1.878870964050293 False
327 5264 163 1814 163 1595 4761.999999999999 0.1165644171779141 1345.5531522865658 1.8127226829528809 False
327 5207 163 1860 163 1622 5203.999999999999 0.13496932515337423 1579.8855985618627 1.8157496452331543 False
327 5245 163 1882 163 1536 4711.999999999999 0.1656441717791411 3144.6735084458082 2.099735975265503 False
327 5209 163 1863 163 1648 5194.000000000001 0.11042944785276074 1381.5779190493897 2.4606263637542725 False
327 5259 163 1797 163 1422 4706.0 0.12883435582822086 3768.31677220073 2.529616355895996 False
327 5307 163 1744 163 1714 5392.0 0.05521472392638037 691.0818897568587 1.742677927017212 False
327 5245 163 1636 163 1682 4912.0 0.06748466257668712 1293.5847002059693 1.685828447341919 False
327 5211 163 1827 163 1632 5354.0 0.06748466257668712 1097.628917165108 1.837308645248413 False
327 5190 163 1835 163 1651 5244.0 0.1411042944785276 1289.606223788221 1.6916630268096924 False
327 5227 163 1897 163 1623 4384.0 0.15337423312883436 1941.257300542911 1.9083025455474854 False
327 5209 163 1855 163 1624 4701.999999999999 0.13496932515337423 1642.320713576281 1.7722022533416748 False
327 5204 163 1709 163 1571 5000.0 0.05521472392638037 802.1727318288775 1.815511703491211 False
327 5224 163 1922 163 1488 5023.999999999999 0.07975460122699386 4791.878223950529 1.725400447845459 False
327 5279 163 1959 163 1577 5067.999999999999 0.1411042944785276 3727.3486992913718 2.384216785430908 False
327 5240 163 1860 163 1695 5150.000000000001 0.0736196319018405 1497.8176145827324 1.7627472877502441 False
327 5201 163 1923 163 1543 4948.0 0.11042944785276074 3853.39948265798 1.7707042694091797 False
327 5220 163 1813 163 1653 4912.0 0.1656441717791411 1053.079782487496 1.7367029190063477 False
327 5271 163 1800 163 1599 5234.0 0.09815950920245399 1110.2401530566513 1.7118170261383057 False
327 5250 163 1703 163 1640 5150.000000000001 0.04294478527607362 366.40150889184747 1.808854103088379 False
327 5232 163 1911 163 1584 5382.0 0.05521472392638037 2818.7788972161056 1.7551019191741943 False
327 5241 163 1859 163 1608 5366.000000000001 0.06748466257668712 1737.7187764625178 2.3617804050445557 False
327 5201 163 1911 163 1552 5310.0 0.10429447852760736 3285.4606799954363 1.6736812591552734 False
327 5236 163 1710 163 1513 4914.0 0.10429447852760736 1156.0865996330394 1.722059965133667 False
327 5205 163 1817 163 1576 4970.000000000001 0.09815950920245399 1626.9216355952235 1.8919756412506104 False
327 5245 163 1841 163 1583 5208.0 0.12883435582822086 2000.9545055556416 1.9768307209014893 False
327 5242 163 1868 163 1554 5080.0 0.08588957055214724 2528.773635953979 2.2837882041931152 False
327 5249 163 1906 163 1418 4771.999999999999 0.13496932515337423 6555.780329617044 2.0834240913391113 False
327 5228 163 1806 163 1585 5130.0 0.10429447852760736 1467.0122997893814 1.871629238128662 False
327 5262 163 1751 163 1669 5352.000000000001 0.06748466257668712 680.9298132610021 1.706350326538086 False
327 5210 163 1819 163 1640 4686.0 0.1411042944785276 1232.2879149414202 1.816401481628418 False
327 5232 163 1959 163 1588 5037.999999999999 0.10429447852760736 3527.9392292008615 1.7205381393432617 False
327 5239 163 2039 163 1576 5254.0 0.1411042944785276 5567.634644362741 1.955575704574585 False
327 5273 163 1813 163 1705 4727.999999999999 0.15950920245398773 535.6706312517811 1.7385118007659912 False
327 5262 163 1777 163 1613 5184.0 0.05521472392638037 1088.6586938423118 2.423743486404419 False
327 5235 163 1817 163 1593 5240.0 0.0736196319018405 1546.3428239585653 1.7002687454223633 False
327 5229 163 1845 163 1657 5132.0 0.08588957055214724 1268.0664413561992 1.6956965923309326 False
327 5238 163 1906 163 1729 5418.000000000001 0.15337423312883436 1280.269432477338 1.7397406101226807 False
