DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
327 4348 163 1772 163 1436 4000.0 0.03067484662576687 3225.7512251337753 1.1553776264190674 False
327 4313 163 1878 163 1498 3844.0 0.049079754601226995 3941.1378031221725 0.9321901798248291 False
327 4362 163 1804 163 1520 3371.9999999999995 0.006134969325153374 2063.165777864793 1.2193636894226074 False
327 4331 163 1693 163 1589 4096.0 0.03067484662576687 706.0818548516519 1.2579514980316162 False
327 4358 163 1725 163 1465 3336.0 0.03067484662576687 1900.329016338205 1.3251538276672363 False
327 4409 163 1854 163 1636 4023.9999999999995 0.05521472392638037 1328.461449871135 0.9704785346984863 False
327 4351 163 1897 163 1501 3684.0 0.03680981595092025 5608.4191540546535 0.9600417613983154 False
327 4334 163 2018 163 1455 3693.9999999999995 0.04294478527607362 9361.28233171257 1.3875036239624023 False
327 4363 163 1776 163 1408 3516.0 0.012269938650306749 3665.9873984141823 1.1811132431030273 False
327 4329 163 1692 163 1547 3826.0 0.006134969325153374 807.7386078314753 0.9441394805908203 False
327 4373 163 1799 163 1340 3798.0 0.05521472392638037 6081.346535699565 0.9630959033966064 False
327 4391 163 1893 163 1655 4268.0 0.012269938650306749 1813.7537199112526 1.31546950340271 False
327 4372 163 1972 163 1421 4202.000000000001 0.006134969325153374 8932.268833585473 0.9800989627838135 False
327 4353 163 1814 163 1336 3407.9999999999995 0.04294478527607362 6656.719525170104 1.1783218383789062 False
327 4397 163 1860 163 1405 3606.0 0.08588957055214724 5487.136815006204 0.9809658527374268 False
327 4293 163 1882 163 1400 4236.0 0.03680981595092025 6502.169031050862 0.9789395332336426 False
327 4402 163 1863 163 1427 3548.0000000000005 0.012269938650306749 4954.364529624167 1.0135819911956787 False
327 4407 163 1797 163 1387 3928.0 0.012269938650306749 5062.150027395633 1.2350080013275146 False
327 4396 163 1744 163 1662 3632.0 0.012269938650306749 298.4632258010621 1.0169909000396729 False
327 4305 163 1636 163 1422 3712.0000000000005 0.04294478527607362 1161.378580583768 0.9616694450378418 False
327 4356 163 1827 163 1350 4017.9999999999995 0.012269938650306749 6232.705922844308 1.0617868900299072 False
327 4282 163 1835 163 1378 3246.0 0.07975460122699386 5588.945378279496 1.6181294918060303 False
327 4325 163 1897 163 1454 4154.0 0.03680981595092025 5991.455211585469 1.021639108657837 False
327 4358 163 1855 163 1568 3673.9999999999995 0.018404907975460124 2163.2774547126082 1.030402660369873 False
327 4358 163 1709 163 1652 4062.0 0.0 1064.5433306402717 1.086493968963623 False
327 4338 163 1922 163 1459 3458.0000000000005 0.012269938650306749 5777.10996198383 1.579960584640503 False
327 4371 163 1959 163 1470 3777.9999999999995 0.03680981595092025 6424.906968760969 1.2882254123687744 False
327 4340 163 1860 163 1623 4109.999999999999 0.006134969325153374 1493.4639681137528 0.9257237911224365 False
327 4356 163 1923 163 1515 3568.0 0.03680981595092025 4237.26564456628 1.3164684772491455 False
327 4411 163 1813 163 1439 3747.9999999999995 0.08588957055214724 3597.6527653598296 1.1505122184753418 False
327 4295 163 1800 163 1478 3928.0 0.006134969325153374 2904.7974270152977 1.022963285446167 False
327 4395 163 1703 163 1445 3600.0 0.024539877300613498 2009.6675483505016 1.377049207687378 False
327 4264 163 1911 163 1483 4068.0000000000005 0.012269938650306749 4872.67063767899 0.9725489616394043 False
327 4373 163 1859 163 1509 3464.0 0.012269938650306749 3260.8638232245435 1.137028694152832 False
327 4401 163 1911 163 1639 3868.0 0.03680981595092025 2232.167033517285 0.9322609901428223 False
327 4384 163 1710 163 1481 4146.0 0.018404907975460124 1639.1336196847951 1.15533447265625 False
327 4377 163 1817 163 1536 4046.0000000000005 0.018404907975460124 2254.309895101359 0.9661307334899902 False
327 4381 163 1841 163 1410 3182.0 0.03067484662576687 5217.201889839685 1.094489336013794 False
327 4419 163 1868 163 1474 4152.000000000001 0.018404907975460124 4457.612103097665 0.9104485511779785 False
327 4404 163 1906 163 1571 3818.0 0.006134969325153374 3444.1883422679743 1.0462603569030762 False
327 4369 163 1806 163 1442 3816.0000000000005 0.049079754601226995 3463.7218896096024 0.9539012908935547 False
327 4360 163 1751 163 1463 3724.0 0.05521472392638037 2177.584172059355 0.9076778888702393 False
327 4418 163 1819 163 1456 3610.0 0.03067484662576687 3575.1988500025664 1.2788660526275635 False
327 4406 163 1959 163 1395 3816.0000000000005 0.006134969325153374 8412.171110201683 1.1966049671173096 False
327 4347 163 2039 163 1565 4427.999999999999 0.012269938650306749 5978.81016598636 1.1835212707519531 False
327 4382 163 1813 163 1480 3710.0000000000005 0.04294478527607362 2906.86985122565 0.9524295330047607 False
327 4412 163 1777 163 1521 3572.0 0.03067484662576687 1819.5811050990262 1.0329971313476562 False
327 4402 163 1817 163 1360 3661.9999999999995 0.03067484662576687 5934.737544123214 0.956761360168457 False
327 4380 163 1845 163 1615 3768.0 0.012269938650306749 1865.2950852494437 1.2166485786437988 False
327 4370 163 1906 163 1495 3310.0 0.06748466257668712 4327.520336883925 1.0464541912078857 False
