G1,G2,K,Algo,FROB,FROB1,FROB2,FROB3,FROB4,FROB5,HR,HR1,HR2,HR3,HR4,HR5,TIME,CRP,CRP1,CRP2,CRP3,CRP4,CRP5,trial,local_g1,local_g2,local_g1_1,local_g2_1,local_g1_2,local_g2_2,local_g1_3,local_g2_3,local_g1_4,local_g2_4,local_g1_5,local_g2_5,initialization
village,celegans,223,ssSGM,11.489125293076057,0,0,0,0,0,0,0,0,0,0,0,2.032076597213745,0,0,0,0,0,0,0,68,97,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,11.313708498984761,0,0,0,0,0,0,0,0,0,0,0,1.9495246410369873,0,0,0,0,0,0,1,64,101,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,11.61895003862225,0,0,0,0,0,0,0,0,0,0,0,1.3280935287475586,0,0,0,0,0,0,2,69,100,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,11.74734012447073,0,0,0,0,0,0,0,0,0,0,0,1.8954777717590332,0,0,0,0,0,0,3,63,96,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,11.090536506409418,0,0,0,0,0,0,0,0,0,0,0,2.417905330657959,0,0,0,0,0,0,4,54,102,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,11.575836902790225,0,0,0,0,0,0,0,0,0,0,0,2.4949703216552734,0,0,0,0,0,0,5,58,97,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,11.832159566199232,0,0,0,0,0,0,0,0,0,0,0,1.815201759338379,0,0,0,0,0,0,6,66,96,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,10.488088481701515,0,0,0,0,0,0,0,0,0,0,0,1.959794282913208,0,0,0,0,0,0,7,61,94,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,10.677078252031311,0,0,0,0,0,0,0,0,0,0,0,1.7493557929992676,0,0,0,0,0,0,8,66,97,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,11.357816691600547,0,0,0,0,0,0,0,0,0,0,0,2.070859909057617,0,0,0,0,0,0,9,63,104,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,19.949937343260004,0,0,0,0,0,0,0,0,0,0,0,1.649073839187622,1,0,0,0,0,0,0,97,151,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,20.566963801203133,0,0,0,0,0,0,0,0,0,0,0,1.7957510948181152,0,0,0,0,0,0,1,98,155,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,20.223748416156685,0,0,0,0,0,0,0,0,0,0,0,1.956390380859375,0,0,0,0,0,0,2,107,155,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,19.672315572906,0,0,0,0,0,0,0,0,0,0,0,1.1428964138031006,0,0,0,0,0,0,3,104,154,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,19.672315572906,0,0,0,0,0,0,0,0,0,0,0,1.2756459712982178,1,0,0,0,0,0,4,93,154,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,20.0,0,0,0,0,0,0,0,0,0,0,0,1.5814719200134277,0,0,0,0,0,0,5,98,152,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,20.199009876724155,0,0,0,0,0,0,0,0,0,0,0,1.6152780055999756,0,0,0,0,0,0,6,96,154,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,19.82422760159901,0,0,0,0,0,0,0,0,0,0,0,1.0386884212493896,0,0,0,0,0,0,7,96,153,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,260,ssSGM,20.73644135332772,0,0,0,0,0,0,0,0,0,0,0,1.8024051189422607,0,0,0,0,0,0,8,102,152,0,0,0,0,0,0,0,0,0,0,uniform
